区分コード,担当者名,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
A,伊東,K-30606EA,1.0,1,MV-K-30606EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-18405B,1.0,1,MV-K-18405B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-18304,1.0,1,MV-K-18304,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-30605CB,1.0,1,MC-K-30605CB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-30606EB,1.0,1,MV-K-30606EB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504BA,1.0,1,MV-KS64-00504BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KD64-00102AA,1.0,1,MV-KD64-00102AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-02404EA,1.0,1,MC-KS64-02404-M101,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00515EA,1.0,1,PL-KS64-00515EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00505GA,1.0,1,MV-KS64-00505GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00505FA,1.0,1,MV-KS64-00505FA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00505EA,1.0,1,MC-KS64-00505EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
